Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[228L, 274L, 317L]",0.53,MLR,0.02,-0.18,0.06,-0.05
"[83L, 135L, 238L, 312L]",0.47,MLR,0.14,-0.02,0.09,-0.18
"[53L, 71L, 88L, 104L, 135L, 166L, 243L, 253L, 365L]",0.71,MLR,0.32,-0.3,-0.77,-1.38
"[151L, 187L, 214L, 294L, 361L]",0.58,MLR,0.03,-0.3,-0.03,-0.07
"[130L, 177L, 184L, 365L]",0.81,MLR,0.06,-1.01,-0.12,-0.1
"[35L, 43L, 134L, 174L, 244L, 324L, 365L, 372L, 383L]",0.59,MLR,0.23,-0.14,-0.37,-0.4
"[18L, 102L, 112L, 245L, 341L]",0.57,MLR,0.08,-0.21,-0.12,0.02
"[34L, 201L, 219L, 243L, 342L]",0.61,MLR,0.21,-0.16,-0.44,-0.45
"[54L, 76L, 208L, 252L, 304L, 367L]",0.76,MLR,0.07,-0.81,-0.18,-0.31
"[75L, 245L, 248L, 253L, 349L, 368L, 383L]",0.72,MLR,0.25,-0.56,-0.36,-0.98
"[30L, 45L, 169L, 209L, 245L, 311L]",0.62,MLR,0.12,-0.3,-0.29,-0.51
"[189L, 203L, 218L, 219L, 223L, 248L, 306L, 313L]",0.7,MLR,0.29,-0.39,-0.52,-0.33
"[27L, 69L, 122L, 242L, 244L, 256L, 282L, 317L]",0.69,MLR,0.35,-0.32,-0.62,-0.15
"[9L, 21L, 100L, 155L, 169L, 199L, 227L, 324L]",0.68,MLR,0.21,-0.17,-0.83,-0.91
"[103L, 129L, 229L, 296L]",0.53,MLR,0.01,-0.15,0.01,0.03
"[2L, 16L, 18L, 23L, 128L, 265L, 268L, 272L, 374L]",0.46,MLR,0.38,-0.12,0.34,0.3
"[13L, 66L, 88L, 105L, 130L, 158L, 224L, 249L, 326L]",0.72,MLR,0.22,-0.48,-0.5,-0.31
"[69L, 132L, 262L, 315L, 327L]",0.61,MLR,0.35,0.06,-0.8,-0.21
"[73L, 83L, 145L, 318L, 329L]",0.55,MLR,0.29,0.14,-0.63,-0.59
"[52L, 73L, 75L, 151L, 359L, 361L, 373L]",1.14,MLR,0.26,-0.07,-3.53,-3.16
"[125L, 148L, 150L, 155L, 158L, 301L]",0.53,MLR,0.1,-0.14,-0.05,-0.02
"[11L, 143L, 155L]",0.52,MLR,0.06,-0.08,-0.06,-0.03
"[36L, 54L, 133L, 216L, 362L]",0.59,MLR,0.07,-0.15,-0.38,-0.68
"[47L, 81L, 138L, 211L, 300L]",0.53,MLR,0.22,0.0,-0.27,-0.39
"[20L, 22L, 85L, 150L, 288L]",0.62,MLR,0.09,-0.25,-0.33,-0.5
"[28L, 99L, 231L, 371L]",0.43,MLR,0.11,-0.08,0.44,-0.1
"[15L, 72L, 181L, 295L, 373L, 376L]",0.7,MLR,0.22,-0.03,-1.13,-0.77
"[28L, 99L, 231L, 372L]",0.5,MLR,0.05,-0.15,0.15,0.14
"[102L, 247L, 328L, 376L]",0.74,MLR,0.08,-0.84,-0.02,-0.09
"[65L, 149L, 276L, 290L, 308L, 310L, 357L]",0.53,MLR,0.13,-0.26,0.2,-0.18
"[7L, 67L, 208L, 224L, 294L, 329L]",0.56,MLR,0.06,-0.2,-0.1,-0.04
"[83L, 137L, 205L, 208L, 248L, 279L]",0.71,MLR,0.25,0.02,-1.32,-1.02
"[29L, 43L, 278L]",0.57,MLR,0.13,-0.04,-0.42,-0.85
"[99L, 134L, 175L, 232L]",0.48,MLR,0.13,-0.03,0.08,-0.4
"[4L, 47L, 51L, 79L, 125L, 136L, 377L]",0.49,MLR,0.21,-0.04,0.01,-0.14
"[133L, 238L, 304L, 317L, 368L]",0.55,MLR,0.09,-0.11,-0.2,-0.3
"[25L, 52L, 121L, 151L, 200L, 221L, 236L, 251L, 255L, 318L, 336L, 379L]",2.11,MLR,0.26,-0.99,-7.35,-66.15
"[19L, 65L, 104L, 211L, 218L, 266L, 329L, 365L]",0.68,MLR,0.29,-0.2,-0.75,-0.75
"[115L, 118L, 128L, 134L, 256L, 291L, 300L]",0.62,MLR,0.12,-0.24,-0.34,-0.86
"[44L, 103L, 152L, 163L, 202L, 245L, 254L, 284L, 317L]",0.59,MLR,0.2,-0.19,-0.25,-0.09
"[17L, 111L, 202L, 224L, 256L, 261L]",0.51,MLR,0.21,-0.05,-0.08,-0.09
"[23L, 82L, 97L, 191L, 262L, 287L, 306L, 372L]",0.43,MLR,0.45,0.07,0.2,-0.9
